Index,ProductId,ProductName,Branch,level_1,level_2,level_3,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
8593,5010212-EA-000NW,Tabasco Pepper Sauce,New World Mt Roskill,Pantry,Condiments & Dressings,Chilli & Pepper Sauces,4.99,ea,FALSE,,4.99,,,
8594,5010213-EA-000NW,Tabasco Green Pepper Sauce,New World Mt Roskill,Pantry,Condiments & Dressings,Chilli & Pepper Sauces,4.99,ea,FALSE,,4.99,,,
8595,5010215-EA-000NW,Continental Brown Onion Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,,,
8596,5010216-EA-000NW,Continental Roast Meat Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,,,
8597,5010218-EA-000NW,Continental Light Brown Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,,,
8598,5010219-EA-000NW,Continental Roast Chicken Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,,,
8599,5010224-EA-000NW,Chicken Tonight Sweet & Sour Cooking Sauce,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Simmer & Stir-Through Sauces,3.89,ea,FALSE,,3.89,,,
8600,5010225-EA-000NW,San Remo Pasta Elbows,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Dried Pastas,2.79,ea,FALSE,,2.79,,,
8601,5010230-EA-000NW,San Remo Fettuccine Pasta,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Dried Pastas,2.79,ea,FALSE,,2.79,,,
8602,5010232-EA-000NW,High Mark Ribbon Cut Egg Noodles,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Noodles,2.69,ea,FALSE,,2.69,,,
8603,5010270-EA-000NW,Eta Chocolate Peanuts,New World Mt Roskill,Pantry,Snack Foods,Nut Bars & Snacks,2.99,ea,FALSE,,2.99,,,
8604,5010273-EA-000NW,Pop'n'Good Caramel Popcorn,New World Mt Roskill,Pantry,Snack Foods,Popcorn,2.7,ea,FALSE,,2.7,,,
8605,5010274-EA-000NW,Pop'n'Good Fruiti Popcorn,New World Mt Roskill,Pantry,Snack Foods,Popcorn,2.7,ea,FALSE,,2.7,,,
8606,5010358-EA-000NW,Trident Noodle Man Chicken Instant Noodle Cup,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Noodle Meals,0.99,ea,FALSE,,0.99,0.99,1,Saver
8607,5010359-EA-000NW,Trident Noodle Man Beef  Flavoured Noodles,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Noodle Meals,0.99,ea,FALSE,,0.99,0.99,1,Saver
8608,5010360-EA-000NW,Trident Noodle Man Hot & Spicy Flavoured Noodles,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Noodle Meals,0.99,ea,FALSE,,0.99,0.99,1,Saver
8609,5010380-EA-000NW,Ocean Spray Whole Cranberry Sauce,New World Mt Roskill,Pantry,Condiments & Dressings,Fruit Sauces,4.29,ea,FALSE,,4.29,,,
8610,5010381-EA-000NW,Ocean Spray Jellied Cranberry Sauce,New World Mt Roskill,Pantry,Condiments & Dressings,Fruit Sauces,4.29,ea,FALSE,,4.29,,,
8611,5010435-EA-000NW,Griffin's MallowPuffs Original Chocolate Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.09,ea,TRUE,Buy 2 for 5.50.,3.09,5.5,2,Multibuy Super Saver
8612,5010436-EA-000NW,Griffin's MallowPuffs Double Chocolate Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.09,ea,TRUE,Buy 2 for 5.50.,3.09,5.5,2,Multibuy Super Saver
