,ProductId,ProductName,Branch,level_1,level_2,level_3,Image,ProductUrl,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
6538,5026030-EA-000NW,Kiwicare No Rats & Mice Weatherproof 4 Bait Blocks,New World Mt Roskill,"Kitchen, Dining & Household",Household,Pest & Insect Control,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026030.png,www.ishopnewworld.co.nz/product/5026030_ea_000nw?name=no-rats-%26-mice-weatherproof-4-bait-blocks,7.99,ea,False,No,7.99,7.99,1.0,Saver
6539,5026224-EA-000NW,Energizer Rechargeable AAA Battery,New World Mt Roskill,"Kitchen, Dining & Household",Household,Batteries & Light Bulbs,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026224.png,www.ishopnewworld.co.nz/product/5026224_ea_000nw?name=rechargeable-aaa-battery,29.99,ea,False,No,29.99,0.0,0.0,No
6540,5026241-EA-000NW,Scotch-Brite Non-Scratch Scrub Sponge,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Cleaning Accessories,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026241.png,www.ishopnewworld.co.nz/product/5026241_ea_000nw?name=non-scratch-scrub-sponge,3.29,ea,False,No,3.29,0.0,0.0,No
6541,5026242-EA-000NW,OzKleen Shower Power Pine Fresh Bathroom Cleaner,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Bathroom & Shower Cleaners,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026242.png,www.ishopnewworld.co.nz/product/5026242_ea_000nw?name=shower-power-pine-fresh-bathroom-cleaner,9.99,ea,False,No,9.99,0.0,0.0,No
6542,5026243-EA-000NW,OzKleen Carpet Power Lavender Fresh Stain Remover,New World Mt Roskill,"Kitchen, Dining & Household",Laundry,Pre Wash Stain Removers,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026243.png,www.ishopnewworld.co.nz/product/5026243_ea_000nw?name=carpet-power-lavender-fresh-stain-remover,9.99,ea,False,No,9.99,0.0,0.0,No
6543,5026245-EA-000NW,Scotch-Brite Heavy Duty Dishwand Refill,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Cleaning Accessories,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026245.png,www.ishopnewworld.co.nz/product/5026245_ea_000nw?name=heavy-duty-dishwand-refill,4.69,ea,False,No,4.69,0.0,0.0,No
6544,5026354-EA-000NW,Scotch-Brite Soap Dispensing Dishwand,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Cleaning Accessories,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026354.png,www.ishopnewworld.co.nz/product/5026354_ea_000nw?name=soap-dispensing-dishwand,4.69,ea,False,No,4.69,0.0,0.0,No
6545,5026512-EA-000NW,Dylon Colour Run Remover For Whites Only,New World Mt Roskill,"Kitchen, Dining & Household",Laundry,Pre Wash Stain Removers,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026512.png,www.ishopnewworld.co.nz/product/5026512_ea_000nw?name=colour-run-remover-for-whites-only,3.63,ea,False,No,3.63,0.0,0.0,No
6546,5026513-EA-000NW,Dylon Black Velvet Fabric Dye,New World Mt Roskill,"Kitchen, Dining & Household",Laundry,Clothing Dyes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026513.png,www.ishopnewworld.co.nz/product/5026513_ea_000nw?name=black-velvet-fabric-dye,9.99,ea,False,No,9.99,0.0,0.0,No
6547,5026543-EA-000NW,OzKleen Oven Power Low Odour Oven & BBQ Cleaner Kit,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Kitchen Cleaners,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026543.png,www.ishopnewworld.co.nz/product/5026543_ea_000nw?name=oven-power-low-odour-oven-%26-bbq-cleaner-kit,11.49,ea,False,No,11.49,0.0,0.0,No
